Tag #,Litter type,treatment,Replicate,Initial_Bag Mass (g),Initial_Litter Mass (g),Initial_Total Bag + Litter Mass (g),"Mass (dry) after collection, including bag",Mass Loss,Days to Collection
502,Phragmites,Pine,1,8.48,5.35,13.83,13.52,0.31,28
503,Pine,Phragmites,2,9.53,6.25,15.78,14.7,1.08,365
504,Pine,Pine,1,10.17,6.25,16.42,16.13,0.29,28
505,Pine,Pine,4,10.34,6.09,16.43,16.03,0.4,84
506,Pine,Phragmites,4,9.51,6.12,15.63,14.6,1.03,365
507,Pine,Morella,5,9.72,6.13,15.85,15.51,0.34,28
509,Pine,Phragmites,1,10.11,6.05,16.16,15.61,0.55,84
510,Pine,Pine,2,10.17,6.08,16.25,15.66,0.59,28
511,Pine,Phragmites,2,10.19,6.17,16.36,16.02,0.34,182
512,Pine,Phragmites,5,9.04,6.23,15.27,15.21,0.06,28
514,Pine,Morella,3,9.83,5.95,15.78,15.53,0.25,28
515,Pine,Morella,4,9.49,6.03,15.52,15.19,0.33,182
516,Pine,Morella,2,9.45,6.45,15.9,14.82,1.08,84
517,Pine,Morella,1,9.87,6.57,16.44,14.9,1.54,365
518,Pine,Phragmites,5,9.47,6.19,15.66,14.53,1.13,84
519,Pine,Pine,5,9.44,6.03,15.47,14.82,0.65,84
520,Pine,Phragmites,4,9.57,6.16,15.73,14.8,0.93,365
521,Pine,Pine,1,10.13,5.96,16.09,15.63,0.46,182
522,Pine,Morella,1,9.93,6.38,16.31,14.9,1.41,365
523,Pine,Pine,2,10.29,5.98,16.27,15.65,0.62,182
524,Pine,Morella,2,9.65,6.07,15.72,14.99,0.73,84
525,Morella,Phragmites,5,9.99,7.51,17.5,17.31,0.19,28
526,Pine,Phragmites,2,10.33,5.88,16.21,16.04,0.17,28
528,Pine,Phragmites,1,10.1,6.91,17.01,16.35,0.66,182
529,Phragmites,Morella,1,9.52,4.12,13.64,12.9,0.74,365
531,Morella,Phragmites,2,9.93,7.49,17.42,17.26,0.16,28
532,Phragmites,Phragmites,5,8.8,5.6,14.4,14.29,0.11,28
533,Phragmites,Morella,3,10.01,5.57,15.58,15.34,0.24,28
534,Phragmites,Morella,5,10.05,5.21,15.26,15.14,0.12,28
535,Morella,Pine,1,10.07,7.56,17.63,17.56,0.07,28
536,Pine,Pine,4,10,6.01,16.01,15.4,0.61,365
537,Phragmites,Pine,2,9.25,5.55,14.8,14.23,0.57,182
538,Morella,Pine,2,10.34,7.45,17.79,17.38,0.41,182
539,Pine,Pine,3,10.05,5.83,15.88,15.24,0.64,84
543,Pine,Phragmites,4,9.46,6.65,16.11,15.53,0.58,84
544,Pine,Morella,4,10.11,5.96,16.07,15.8,0.27,28
545,Pine,Phragmites,5,10.11,6.81,16.92,16.52,0.4,28
546,Pine,Morella,3,9.88,6.39,16.27,14.8,1.47,365
548,Pine,Pine,2,9.53,6.52,16.05,15.67,0.38,182
549,Pine,Morella,2,9.97,6.09,16.06,15.38,0.68,84
550,Pine,Pine,5,10.18,6.1,16.28,14.9,1.38,365
551,Pine,Phragmites,1,9.48,5.84,15.32,14.72,0.6,182
552,Pine,Pine,3,9.66,5.98,15.64,14.9,0.74,365
553,Pine,Morella,4,9.72,5.85,15.57,15.04,0.53,182
554,Pine,Morella,5,10.03,5.65,15.68,15.08,0.6,182
556,Pine,Pine,3,10.2,7.66,17.86,17.16,0.7,28
560,Phragmites,Phragmites,4,9.31,2.25,11.56,11.25,0.31,84
589,Phragmites,Morella,5,10.19,5.32,15.51,14.92,0.59,182
595,Phragmites,Phragmites,2,10.09,4.54,14.63,14.42,0.21,182
600,Morella,Pine,3,7.04,7.4,14.44,14.04,0.4,84
805,Morella,Phragmites,1,9.38,7.54,16.92,16.21,0.71,182
807,Morella,Morella,2,9.88,7.56,17.44,16.73,0.71,84
808,Morella,Morella,5,10.1,7.44,17.54,17.25,0.29,28
809,Morella,Phragmites,4,9.92,7.42,17.34,16.4,0.94,365
810,Morella,Pine,4,10.3,7.23,17.53,16.78,0.75,84
812,Morella,Morella,4,10.35,6.46,16.81,16.77,0.04,28
813,Morella,Pine,3,9.53,7.57,17.1,15.9,1.2,365
814,Morella,Pine,1,9.96,7.62,17.58,17.03,0.55,182
815,Phragmites,Phragmites,4,9.61,5.1,14.71,13.7,1.01,365
