tag,class,treatment,rep,init_mass_bag,init_mass_litter,init_total_mass,post_total_mass,mass_loss,days_to_collection
906,Phragmites,Morella,4,9.34,4.27,13.61,12.77,0.84,22
902,Phragmites,Pine,2,9.31,4.25,13.56,13.01,0.55,22
1000,Phragmites,Pine,3,9.97,4.42,14.39,13.43,0.96,22
502,Phragmites,Pine,1,8.48,5.35,13.83,13.52,0.31,22
905,Phragmites,Phragmites,5,10.12,4.2,14.32,14.26,0.06,22
826,Phragmites,Phragmites,2,10.02,4.37,14.39,14.27,0.12,22
532,Phragmites,Phragmites,5,8.8,5.6,14.4,14.29,0.11,22
534,Phragmites,Morella,5,10.05,5.21,15.26,15.14,0.12,22
512,Pine,Phragmites,5,9.04,6.23,15.27,15.21,0.06,22
533,Phragmites,Morella,3,10.01,5.57,15.58,15.34,0.24,22
507,Pine,Morella,5,9.72,6.13,15.85,15.51,0.34,22
514,Pine,Morella,3,9.83,5.95,15.78,15.53,0.25,22
510,Pine,Pine,2,10.17,6.08,16.25,15.66,0.59,22
544,Pine,Morella,4,10.11,5.96,16.07,15.8,0.27,22
526,Pine,Phragmites,2,10.33,5.88,16.21,16.04,0.17,22
820,Morella,Morella,3,9.43,7.5,16.93,16.1,0.83,22
504,Pine,Pine,1,10.17,6.25,16.42,16.13,0.29,22
545,Pine,Phragmites,5,10.11,6.81,16.92,16.52,0.4,22
812,Morella,Morella,4,10.35,6.46,16.81,16.77,0.04,22
556,Pine,Pine,3,10.2,7.66,17.86,17.16,0.7,22
985,Morella,Pine,3,9.99,7.55,17.54,17.21,0.33,22
808,Morella,Morella,5,10.1,7.44,17.54,17.25,0.29,22
531,Morella,Phragmites,2,9.93,7.49,17.42,17.26,0.16,22
835,Morella,Phragmites,5,10.1,7.56,17.66,17.3,0.36,22
525,Morella,Phragmites,5,9.99,7.51,17.5,17.31,0.19,22
535,Morella,Pine,1,10.07,7.56,17.63,17.56,0.07,22
836,Morella,Pine,2,10.42,7.52,17.94,17.82,0.12,22
560,Phragmites,Phragmites,4,9.31,2.25,11.56,11.25,0.31,76
992,Phragmites,Phragmites,5,9.1,4.41,13.51,13.07,0.44,76
999,Phragmites,Morella,2,10.5,4.2,14.7,13.26,1.44,76
904,Phragmites,Pine,4,9.95,4.3,14.25,13.73,0.52,76
825,Phragmites,Phragmites,1,10.45,4.08,14.53,13.95,0.58,76
828,Phragmites,Pine,5,10.2,4.32,14.52,13.98,0.54,76
979,Phragmites,Morella,2,10.35,4.15,14.5,14.03,0.47,76
600,Morella,Pine,3,7.04,7.4,14.44,14.04,0.4,76
848,Phragmites,Pine,3,10.21,4.29,14.5,14.12,0.38,76
850,Phragmites,Morella,2,10.22,4.68,14.9,14.28,0.62,76
518,Pine,Phragmites,5,9.47,6.19,15.66,14.53,1.13,76
519,Pine,Pine,5,9.44,6.03,15.47,14.82,0.65,76
516,Pine,Morella,2,9.45,6.45,15.9,14.82,1.08,76
524,Pine,Morella,2,9.65,6.07,15.72,14.99,0.73,76
539,Pine,Pine,3,10.05,5.83,15.88,15.24,0.64,76
549,Pine,Morella,2,9.97,6.09,16.06,15.38,0.68,76
543,Pine,Phragmites,4,9.46,6.65,16.11,15.53,0.58,76
509,Pine,Phragmites,1,10.11,6.05,16.16,15.61,0.55,76
505,Pine,Pine,4,10.34,6.09,16.43,16.03,0.4,76
982,Morella,Morella,2,9.26,7.48,16.74,16.07,0.67,76
994,Morella,Morella,2,10.17,7.55,17.72,16.08,1.64,76
990,Morella,Phragmites,4,10.07,7.49,17.56,16.66,0.9,76
993,Morella,Phragmites,5,10.09,7.49,17.58,16.67,0.91,76
807,Morella,Morella,2,9.88,7.56,17.44,16.73,0.71,76
810,Morella,Pine,4,10.3,7.23,17.53,16.78,0.75,76
996,Morella,Pine,5,10.29,7.43,17.72,16.86,0.86,76
839,Morella,Phragmites,1,10.4,7.59,17.99,17.22,0.77,76
832,Phragmites,Pine,1,9.38,4.32,13.7,13.24,0.46,163
827,Phragmites,Morella,4,9.86,4.62,14.48,14.07,0.41,163
903,Phragmites,Pine,2,10.37,4.23,14.6,14.07,0.53,163
844,Phragmites,Phragmites,1,10.11,4.47,14.58,14.15,0.43,163
537,Phragmites,Pine,2,9.25,5.55,14.8,14.23,0.57,163
595,Phragmites,Phragmites,2,10.09,4.54,14.63,14.42,0.21,163
551,Pine,Phragmites,1,9.48,5.84,15.32,14.72,0.6,163
818,Phragmites,Phragmites,1,9.88,5.71,15.59,14.88,0.71,163
589,Phragmites,Morella,5,10.19,5.32,15.51,14.92,0.59,163
553,Pine,Morella,4,9.72,5.85,15.57,15.04,0.53,163
554,Pine,Morella,5,10.03,5.65,15.68,15.08,0.6,163
515,Pine,Morella,4,9.49,6.03,15.52,15.19,0.33,163
833,Phragmites,Morella,4,9.59,6.26,15.85,15.22,0.63,163
986,Morella,Morella,4,9.43,7.55,16.98,15.62,1.36,163
