date,zone,plot,replicate,boat_weight,wet_weight,soil_wet_weight,dry_weight,soil_dry_weight,percentage_moisture,EC_uS/cm,Salinity_ppt,QC rdg EC,QC rdg salinity,Avg EC,Avg Sal,Diff EC,Diff Sal,PercDiff EC,PercDiff Sal
7/13/2023,R,R1,B,2.2,67.3,65.1,50.1,47.9,0.2642089094,1180,0.06,,,,,,,,
7/13/2023,R,R2,A,2.3,65.9,63.6,47.2,44.9,0.2940251572,113.3,0.06,,,,,,,,
7/13/2023,R,R3,C,2.2,73.1,70.9,46.6,44.4,0.3737658674,190.5,0.1,205,0.1,197.75,0.1,14.5,0,7.332490518,0
7/13/2023,R,R1,C,2.2,50.6,48.4,39,36.8,0.2396694215,218,0.11,,,,,,,,
7/13/2023,H,H4,A,2.7,52.6,49.9,18.2,15.5,0.6893787575,326,0.16,,,,,,,,
7/13/2023,R,R2,C,2.3,35.8,33.5,20.1,17.8,0.4686567164,353,0.18,,,,,,,,
7/13/2023,L,L7,C,2.7,62.9,60.2,26.7,24.0,0.6013289037,379,0.19,387,0.19,383,0.19,8,0,2.088772846,0
7/13/2023,R,R1,A,2.3,39.1,36.8,27,24.7,0.3288043478,390,0.19,,,,,,,,
7/13/2023,R,R4,B,2.3,30.0,27.7,14.8,12.5,0.5487364621,376,0.19,,,,,,,,
7/13/2023,R,R2,B,2.3,33.1,30.8,20.1,17.8,0.4220779221,413,0.21,,,,,,,,
7/13/2023,R,R3,B,2.3,77.3,75.0,34.6,32.3,0.5693333333,444,0.22,,,,,,,,
7/13/2023,L,L7,A,2.1,53.8,51.7,18.4,16.3,0.6847195358,458,0.23,,,,,,,,
7/13/2023,M,M7,B,2.3,66.1,63.8,21.4,19.1,0.7006269592,458,0.23,,,,,,,,
7/13/2023,H,H4,B,1.9,54.7,52.8,19.5,17.6,0.6666666667,498,0.25,,,,,,,,
7/13/2023,H,H3,C,2.1,56.5,54.4,16.2,14.1,0.7408088235,533,0.26,,,,,,,,
7/13/2023,H,H0,A,2.3,49.2,46.9,15.4,13.1,0.7206823028,546,0.27,,,,,,,,
7/13/2023,R,R4,C,2.3,39.7,37.4,21.6,19.3,0.4839572193,578,0.29,,,,,,,,
7/13/2023,R,R3,A,2.2,44.0,41.8,18.3,16.1,0.6148325359,590,0.3,,,,,,,,
7/13/2023,R,R4,A,2.3,52.7,50.4,22.2,19.9,0.6051587302,598,0.3,,,,,,,,
7/13/2023,H,H6,B,2.8,90.6,87.8,23.1,20.3,0.7687927107,737,0.37,,,,,,,,
7/13/2023,H,H4,C,2.1,40.9,38.8,16.9,14.8,0.618556701,784,0.39,,,,,,,,
7/13/2023,H,H0,C,2.2,81.3,79.1,18.2,16.0,0.7977243995,794,0.4,,,,,,,,
7/13/2023,H,H5,B,2.0,68.3,66.3,18.6,16.6,0.7496229261,916,0.46,,,,,,,,
7/13/2023,H,H1,C,2.3,94.6,92.3,30.6,28.3,0.6933911159,976,0.49,,,,,,,,
7/13/2023,H,H1,B,2.3,47.0,44.7,12.3,10.0,0.7762863535,1058,0.53,,,,,,,,
7/13/2023,M,M2,B,2.0,59.2,57.2,17.4,15.4,0.7307692308,1068,0.53,,,,,,,,
7/13/2023,H,H2,B,2.3,97.1,94.8,20.4,18.1,0.80907173,1160,0.58,,,,,,,,
7/13/2023,H,H0,B,2.2,76.4,74.2,17.1,14.9,0.7991913747,1212,0.6,,,,,,,,
7/13/2023,H,H3,B,2.2,90.2,88.0,25.5,23.3,0.7352272727,1283,0.64,,,,,,,,
7/13/2023,H,H7,C,2.1,76.3,74.2,23.5,21.4,0.7115902965,1292,0.65,,,,,,,,
7/13/2023,H,H5,C,2.3,91.2,88.9,23.1,20.8,0.7660292463,1364,0.68,,,,,,,,
7/13/2023,M,M4,B,2.3,37.9,35.6,18.3,16.0,0.5505617978,1403,0.7,,,,,,,,
7/13/2023,H,H3,A,2.3,56.9,54.6,15.6,13.3,0.7564102564,1489,0.74,,,,,,,,
7/13/2023,H,H6,C,2.7,53.6,50.9,19.5,16.8,0.6699410609,1489,0.74,,,,,,,,
